Timestamp,measurement_ID,sample_ID,pfas_ID,mean_arithmetic,mean_comment,SE,SE_comment,SD,SD_comment,n_total,group_info,LOQ,median,LOD,min,max,min_max_comment,n_comment,LOQ_comment,LOD_comment,mean_geometric,limit_type,n,measurement_comment
22/06/2022 13:20:34,m_001,sm_001,pfas_001,27.29,ng/g,NA,NA,14.22,NA,17,adult,NA,NA,NA,8.42,58.8,NA,NA,NA,NA,NA,NA,17,NA
22/06/2022 13:40:43,m_002,sm_002,pfas_001,75.08,ng/g ww,NA,NA,30.87,NA,34,egg,NA,NA,NA,31.8,140,NA,"""mean values of 74.7±29.2 ng/g ww for the 27 eggs for which we captured at least one of the adults"" Should I extract the statistics of all the 34 samples or of only the 27 eggs? If I opt for the latter, change accordingly.",NA,NA,NA,NA,34,NA
22/06/2022 13:43:05,m_003,sm_003,pfas_001,25.17,ng/g,NA,NA,12.65,NA,12,adult,NA,NA,NA,11.3,50.7,NA,NA,NA,NA,NA,NA,12,NA
22/06/2022 13:44:21,m_004,sm_004,pfas_001,87.93,ng/g ww,NA,NA,23.13,NA,36,egg,NA,NA,NA,50.7,149,NA,"""mean values of 82.5±22.9 ng/g ww for the 17 eggs for which we captured at least one of the adults."" Should I extract the statistics of all the 36 samples or of only the 17 eggs? If I opt for the latter, change accordingly.",NA,NA,NA,NA,36,NA
22/06/2022 15:18:34,m_005,sm_005,pfas_004,0.68,"Arithmetic mean percent reported in the study = 0.8 +- 0.3 (mean +- SE). The study provides the ΣPFSA = 85 +- 16 (mean +- SE, ng/g ww) from which we calculate the individual PFAS type concentration.",0.255,We calculated the SE from the standard error of the aritmetic mean percent.,0.7212489168,Not provided. We calculated the SD from standard error and sample size using the following formula SD = SE x √n.,8,adult,NA,NA,NA,NA,NA,NA,"""Samples of organs and tissues, i.e., liver, blood, whole brain, muscle and adipose, were collected from female herring gulls (n = 8)""",NA,NA,NA,NA,8,SE=(ΣPFSA/100)*PFAS type arithmetic mean percent. SD=SE/SQRT(n).
22/06/2022 15:21:40,m_006,sm_005,pfas_001,83.98,"Arithmetic mean percent reported in the study = 98.8 +- 0.3. The study provides the ΣPFSA = 85 +- 16 (mean +- SE, ng/g ww) from which we can calculate the individual PFAS type concentration.",0.255,We calculated the SE from the standard error of the aritmetic mean percent.,0.7212489168,Not provided. We calculated the SD from standard error and sample size using the following formula SD = SE x √n.,8,adult,NA,NA,NA,NA,NA,NA,"""Samples of organs and tissues, i.e., liver, blood, whole brain, muscle and adipose, were collected from female herring gulls (n = 8)""",NA,NA,NA,NA,8,SE=(ΣPFSA/100)*PFAS type arithmetic mean percent. SD=SE/SQRT(n).
22/06/2022 15:22:48,m_007,sm_005,pfas_005,0.425,"Arithmetic mean percent reported in the study = 0.5 +- 0.1. The study provides the ΣPFSA = 85 +- 16 (mean +- SE, ng/g ww) from which we can calculate the individual PFAS type concentration.",0.085,We calculated the SE from the standard error of the aritmetic mean percent.,0.2404163056,Not provided. We calculated the SD from standard error and sample size using the following formula SD = SE x √n.,8,adult,NA,NA,NA,NA,NA,NA,"""Samples of organs and tissues, i.e., liver, blood, whole brain, muscle and adipose, were collected from female herring gulls (n = 8)""",NA,NA,NA,NA,8,SE=(ΣPFSA/100)*PFAS type arithmetic mean percent. SD=SE/SQRT(n).
22/06/2022 15:27:36,m_008,sm_005,pfas_006,NA,Check LOQ value,NA,NA,NA,NA,8,adult,0.05,NA,NA,NA,NA,NA,"""Samples of organs and tissues, i.e., liver, blood, whole brain, muscle and adipose, were collected from female herring gulls (n = 8)""","Value under the method limits of quantitation (MLOQs). ""MLOQs for PFSAs and PFCAs were <0.1 and <0.05 ng/g ww, respectively.""",NA,NA,LOQ,8,NA
22/06/2022 15:42:04,m_009,sm_005,pfas_007,NA,Check LOQ value,NA,NA,NA,NA,8,adult,0.05,NA,NA,NA,NA,NA,"""Samples of organs and tissues, i.e., liver, blood, whole brain, muscle and adipose, were collected from female herring gulls (n = 8)""","Value under the method limits of quantitation (MLOQs). ""MLOQs for PFSAs and PFCAs were <0.1 and <0.05 ng/g ww, respectively.""",NA,NA,LOQ,8,NA
22/06/2022 15:44:59,m_010,sm_005,pfas_002,0.7384,"Arithmetic mean percent reported in the study = 14.2 +- 4.5. The study provides the ΣPFCA = 5.2 +- 3.8 (mean +- SE, ng/g ww) from which we can calculate the individual PFAS type concentration.",0.234,We calculated the SE from the standard error of the aritmetic mean percent.,0.6618519472,Not provided. We calculated the SD from standard error and sample size using the following formula SD = SE x √n.,8,adult,NA,NA,NA,NA,NA,NA,"""Samples of organs and tissues, i.e., liver, blood, whole brain, muscle and adipose, were collected from female herring gulls (n = 8)""",NA,NA,NA,NA,8,SE=(ΣPFCA/100)*PFAS type arithmetic mean percent. SD=SE/SQRT(n).
